Jun/25/2018 17:39:53
epoches, top1
Jun/25/2018 17:40:21
epoches, top1
Jun/25/2018 17:41:06
epoches, top1
3070,tensor(54.8611, device='cuda:0')
3075,tensor(54.8611, device='cuda:0')
3080,tensor(56.7708, device='cuda:0')
3085,tensor(55.5556, device='cuda:0')
3090,tensor(54.5139, device='cuda:0')
3095,tensor(54.5139, device='cuda:0')
3100,tensor(54.5139, device='cuda:0')
3105,tensor(54.5139, device='cuda:0')
3110,tensor(56.5972, device='cuda:0')
3115,tensor(55.9028, device='cuda:0')
3120,tensor(57.9861, device='cuda:0')
3125,tensor(57.1181, device='cuda:0')
3130,tensor(54.6875, device='cuda:0')
3135,tensor(54.8611, device='cuda:0')
3140,tensor(56.9444, device='cuda:0')
3145,tensor(57.4653, device='cuda:0')
3150,tensor(55.2083, device='cuda:0')
3155,tensor(54.5139, device='cuda:0')
3160,tensor(56.7708, device='cuda:0')
3165,tensor(55.7292, device='cuda:0')
3170,tensor(54.8611, device='cuda:0')
3175,tensor(56.0764, device='cuda:0')
3180,tensor(55.9028, device='cuda:0')
3185,tensor(56.9444, device='cuda:0')
3190,tensor(56.0764, device='cuda:0')
3195,tensor(55.5556, device='cuda:0')
3200,tensor(56.0764, device='cuda:0')
3205,tensor(56.4236, device='cuda:0')
3210,tensor(55.5556, device='cuda:0')
3215,tensor(55.3819, device='cuda:0')
3220,tensor(54.6875, device='cuda:0')
3225,tensor(55.2083, device='cuda:0')
3230,tensor(55.7292, device='cuda:0')
3235,tensor(54.8611, device='cuda:0')
3240,tensor(55.2083, device='cuda:0')
3245,tensor(56.5972, device='cuda:0')
3250,tensor(54.5139, device='cuda:0')
3255,tensor(56.4236, device='cuda:0')
3260,tensor(56.2500, device='cuda:0')
3265,tensor(55.9028, device='cuda:0')
3270,tensor(55.7292, device='cuda:0')
3275,tensor(54.5139, device='cuda:0')
3280,tensor(55.2083, device='cuda:0')
3285,tensor(55.3819, device='cuda:0')
3290,tensor(55.2083, device='cuda:0')
3295,tensor(59.0278, device='cuda:0')
