Jun/21/2018 13:51:28
epoches, top1
2650,tensor(0., device='cuda:0')
2655,tensor(35.8607, device='cuda:0')
2660,tensor(24.3852, device='cuda:0')
2665,tensor(0., device='cuda:0')
2670,tensor(45.9016, device='cuda:0')
2675,tensor(0., device='cuda:0')
2680,tensor(0., device='cuda:0')
2685,tensor(0., device='cuda:0')
2690,tensor(16.3934, device='cuda:0')
2695,tensor(0., device='cuda:0')
2700,tensor(0.6148, device='cuda:0')
2705,tensor(0., device='cuda:0')
2710,tensor(1.6393, device='cuda:0')
2715,tensor(15.3689, device='cuda:0')
2720,tensor(7.3770, device='cuda:0')
2725,tensor(0.4098, device='cuda:0')
2730,tensor(0.2049, device='cuda:0')
2735,tensor(6.7623, device='cuda:0')
2740,tensor(0., device='cuda:0')
2745,tensor(41.1885, device='cuda:0')
2750,tensor(0., device='cuda:0')
2755,tensor(0., device='cuda:0')
2760,tensor(0., device='cuda:0')
2765,tensor(0., device='cuda:0')
2770,tensor(0.2049, device='cuda:0')
2775,tensor(0., device='cuda:0')
2780,tensor(18.2377, device='cuda:0')
2785,tensor(51.4344, device='cuda:0')
2790,tensor(7.5820, device='cuda:0')
2795,tensor(0.2049, device='cuda:0')
2800,tensor(52.2541, device='cuda:0')
2805,tensor(0.6148, device='cuda:0')
2810,tensor(0.4098, device='cuda:0')
2815,tensor(15.3689, device='cuda:0')
2820,tensor(0., device='cuda:0')
2825,tensor(0., device='cuda:0')
2830,tensor(0.6148, device='cuda:0')
2835,tensor(45.9016, device='cuda:0')
2840,tensor(3.0738, device='cuda:0')
2845,tensor(0., device='cuda:0')
2850,tensor(22.5410, device='cuda:0')
2855,tensor(19.8770, device='cuda:0')
2860,tensor(0.4098, device='cuda:0')
2865,tensor(0.2049, device='cuda:0')
2870,tensor(0., device='cuda:0')
2875,tensor(3.2787, device='cuda:0')
2880,tensor(32.1721, device='cuda:0')
2885,tensor(2.2541, device='cuda:0')
2890,tensor(0., device='cuda:0')
2895,tensor(50.4098, device='cuda:0')
2900,tensor(19.8770, device='cuda:0')
2905,tensor(6.9672, device='cuda:0')
2910,tensor(0.4098, device='cuda:0')
2915,tensor(21.3115, device='cuda:0')
2920,tensor(0., device='cuda:0')
